Year,Physics PhD,Total PhD
1940,144,3277
1941,179,3848
1942,150,3404
1943,132,2592
1944,65,1967
1945,43,1634
1946,73,1990
1947,145,2951
1948,230,3940
1949,314,5389
1950,422,6535
1951,501,7331
1952,520,7717
1953,522,8360
1954,524,8708
1955,511,8905
1956,485,8516
1957,464,8611
1958,504,8838
1959,523,9370
1960,574,9998
1961,601,10827
1962,767,11975
1963,829,13515
1964,936,14951
1965,1065,17110
1966,1187,19202
1967,1361,"21,216"
1968,1447,"22,937"
1969,1575,"25,743"
1970,1715,"29,498"
1971,1743,"31,867"
1972,1697,"33,041"
1973,1412,"33,755"
1974,1360,"33,047"
1975,1100,"32,952"
1976,980,"32,946"
1977,825,"31,716"
1978,784,"30,875"
1979,830,"31,238"
1980,700,"31,019"